"","country","pop18","access","area","GDP_2015"
"1","Belgium",11413058,1951,30280,466068541087.256
"2","Bulgaria",7050034,2007,108560,122457376297.34
"3","Czechia",10610055,2004,77230,319135513796.78
"4","Denmark",5781190,1973,42430,245960893631.366
"5","Germany",82850000,1951,348540,3597472813337.44
"6","Estonia",1319133,2004,42390,35086748366.2988
"7","Ireland",4838259,1973,68890,284825446506.288
"8","Greece",10738868,1981,128900,265565617742.546
"9","Spain",46659302,1986,500210,1523190063463.23
"10","France",67221943,1951,547557,2504631445029.19
"11","Croatia",4105493,2013,55960,86304542917.0616
"12","Italy",60483973,1951,294140,2050934384983.44
"13","Cyprus",864236,2004,9240,25912800707.2086
"14","Latvia",1934379,2004,62190,45027552888.1783
"15","Lithuania",2808901,2004,62675,76837542163.3164
"16","Luxembourg",602005,1951,2590,53294673437.7303
"17","Hungary",9778371,2004,90530,243339863828.415
"18","Malta",475701,2004,320,14220712497.4738
"19","Netherlands",17181084,1951,33670,790713227750.148
"20","Austria",8822267,1995,82531,378652320752.566
"21","Poland",37976687,2004,91600,948156034980.203
"22","Portugal",10291027,1986,91600,276194608387.411
"23","Romania",19523621,2007,230030,395339912549.709
"24","Slovenia",2066880,2004,20140,59436209244.769
"25","Slovakia",5443120,2004,48088,149675062400.47
"26","Finland",5513130,1995,303890,211111458754.496
"27","Sweden",10120242,1995,407340,445447670989.983
"28","United Kingdom",66238007,1973,241930,2531635547994.38
